x;y;z
0;22.33;22.33
0;21.38;21.38
0;20.19;20.19
0;19.7;19.7
0;19.75;19.75
0;19.31;19.31
0;19.88;19.88
0;19.83;19.83
0;20.19;20.19
0;22.56;22.56
0;24.79;24.79
0;25.32;25.32
0;26.02;26.02
0;25.63;25.63
0;25.37;25.37
0;23.8;23.8
0;22.87;22.87
0;22.47;22.47
0;22.55;22.55
0;23.35;23.35
0;25.2;25.2
0;27.88;27.88
0;26.9;26.9
0;24.79;24.79
0;22.33;22.33
0;21.38;21.38
0;20.19;20.19
0;19.7;19.7
0;19.75;19.75
0;19.31;19.31
0;19.88;19.88
0;19.83;19.83
0;20.19;20.19
0;22.56;22.56
0;24.79;24.79
0;25.32;25.32
0;26.02;26.02
0;25.63;25.63
0;25.37;25.37
0;23.8;23.8
0;22.87;22.87
0;22.47;22.47
0;22.55;22.55
0;23.35;23.35
0;25.2;25.2
0;27.88;27.88
0;26.9;26.9
0;24.79;24.79
0;22.33;22.33
0;21.38;21.38
0;20.19;20.19
0;19.7;19.7
0;19.75;19.75
0;19.31;19.31
0;19.88;19.88
0;19.83;19.83
0;20.19;20.19
0;22.56;22.56
0;24.79;24.79
0;25.32;25.32
0;26.02;26.02
0;25.63;25.63
0;25.37;25.37
0;23.8;23.8
0;22.87;22.87
0;22.47;22.47
0;22.55;22.55
0;23.35;23.35
0;25.2;25.2
0;27.88;27.88
0;26.9;26.9
0;24.79;24.79
0;22.33;22.33
0;21.38;21.38
0;20.19;20.19
0;19.7;19.7
0;19.75;19.75
0;19.31;19.31
0;19.88;19.88
0;19.83;19.83
0;20.19;20.19
0;22.56;22.56
0;24.79;24.79
0;25.32;25.32
0;26.02;26.02
0;25.63;25.63
0;25.37;25.37
0;23.8;23.8
0;22.87;22.87
0;22.47;22.47
0;22.55;22.55
0;23.35;23.35
0;25.2;25.2
0;27.88;27.88
0;26.9;26.9
0;24.79;24.79
0.096;22.33;22.234
0.096;21.38;21.284
0.096;20.19;20.094
0.096;19.7;19.604
0.096;19.75;19.654
0.096;19.31;19.214
0.096;19.88;19.784
0.096;19.83;19.734
0.096;20.19;20.094
0.096;22.56;22.464
0.096;24.79;24.694
0.096;25.32;25.224
0.096;26.02;25.924
0.096;25.63;25.534
0.096;25.37;25.274
0.096;23.8;23.704
0.096;22.87;22.774
0.096;22.47;22.374
0.096;22.55;22.454
0.096;23.35;23.254
0.096;25.2;25.104
0.096;27.88;27.784
0.096;26.9;26.804
0.096;24.79;24.694
0.1875;22.33;22.1425
0.1875;21.38;21.1925
0.1875;20.19;20.0025
0.1875;19.7;19.5125
0.1875;19.75;19.5625
0.1875;19.31;19.1225
0.1875;19.88;19.6925
0.1875;19.83;19.6425
0.1875;20.19;20.0025
0.1875;22.56;22.3725
0.1875;24.79;24.6025
0.1875;25.32;25.1325
0.1875;26.02;25.8325
0.1875;25.63;25.4425
0.1875;25.37;25.1825
0.1875;23.8;23.6125
0.1875;22.87;22.6825
0.1875;22.47;22.2825
0.1875;22.55;22.3625
0.1875;23.35;23.1625
0.1875;25.2;25.0125
0.1875;27.88;27.6925
0.1875;26.9;26.7125
0.1875;24.79;24.6025
0.324;22.33;22.006
0.324;21.38;21.056
0.324;20.19;19.866
0.324;19.7;19.376
0.324;19.75;19.426
0.324;19.31;18.986
0.324;19.88;19.556
0.324;19.83;19.506
0.324;20.19;19.866
0.324;22.56;22.236
0.324;24.79;24.466
0.324;25.32;24.996
0.324;26.02;25.696
0.324;25.63;25.306
0.324;25.37;25.046
0.324;23.8;23.476
0.324;22.87;22.546
0.324;22.47;22.146
0.324;22.55;22.226
0.324;23.35;23.026
0.324;25.2;24.876
0.324;27.88;27.556
0.324;26.9;26.576
0.324;24.79;24.466
0.5145;22.33;21.8155
0.5145;21.38;20.8655
0.5145;20.19;19.6755
0.5145;19.7;19.1855
0.5145;19.75;19.2355
0.5145;19.31;18.7955
0.5145;19.88;19.3655
0.5145;19.83;19.3155
0.5145;20.19;19.6755
0.5145;22.56;22.0455
0.5145;24.79;24.2755
0.5145;25.32;24.8055
0.5145;26.02;25.5055
0.5145;25.63;25.1155
0.5145;25.37;24.8555
0.5145;23.8;23.2855
0.5145;22.87;22.3555
0.5145;22.47;21.9555
0.5145;22.55;22.0355
0.5145;23.35;22.8355
0.5145;25.2;24.6855
0.5145;27.88;27.3655
0.5145;26.9;26.3855
0.5145;24.79;24.2755
0.768;22.33;21.562
0.768;21.38;20.612
0.768;20.19;19.422
0.768;19.7;18.932
0.768;19.75;18.982
0.768;19.31;18.542
0.768;19.88;19.112
0.768;19.83;19.062
0.768;20.19;19.422
0.768;22.56;21.792
0.768;24.79;24.022
0.768;25.32;24.552
0.768;26.02;25.252
0.768;25.63;24.862
0.768;25.37;24.602
0.768;23.8;23.032
0.768;22.87;22.102
0.768;22.47;21.702
0.768;22.55;21.782
0.768;23.35;22.582
0.768;25.2;24.432
0.768;27.88;27.112
0.768;26.9;26.132
0.768;24.79;24.022
1.0935;22.33;21.2365
1.0935;21.38;20.2865
1.0935;20.19;19.0965
1.0935;19.7;18.6065
1.0935;19.75;18.6565
1.0935;19.31;18.2165
1.0935;19.88;18.7865
1.0935;19.83;18.7365
1.0935;20.19;19.0965
1.0935;22.56;21.4665
1.0935;24.79;23.6965
1.0935;25.32;24.2265
1.0935;26.02;24.9265
1.0935;25.63;24.5365
1.0935;25.37;24.2765
1.0935;23.8;22.7065
1.0935;22.87;21.7765
1.0935;22.47;21.3765
1.0935;22.55;21.4565
1.0935;23.35;22.2565
1.0935;25.2;24.1065
1.0935;27.88;26.7865
1.0935;26.9;25.8065
1.0935;24.79;23.6965
1.5;22.33;20.83
1.5;21.38;19.88
1.5;20.19;18.69
1.5;19.7;18.2
1.5;19.75;18.25
1.5;19.31;17.81
1.5;19.88;18.38
1.5;19.83;18.33
1.5;20.19;18.69
1.5;22.56;21.06
1.5;24.79;23.29
1.5;25.32;23.82
1.5;26.02;24.52
1.5;25.63;24.13
1.5;25.37;23.87
1.5;23.8;22.3
1.5;22.87;21.37
1.5;22.47;20.97
1.5;22.55;21.05
1.5;23.35;21.85
1.5;25.2;23.7
1.5;27.88;26.38
1.5;26.9;25.4
1.5;24.79;23.29
1.9965;22.33;20.3335
1.9965;21.38;19.3835
1.9965;20.19;18.1935
1.9965;19.7;17.7035
1.9965;19.75;17.7535
1.9965;19.31;17.3135
1.9965;19.88;17.8835
1.9965;19.83;17.8335
1.9965;20.19;18.1935
1.9965;22.56;20.5635
1.9965;24.79;22.7935
1.9965;25.32;23.3235
1.9965;26.02;24.0235
1.9965;25.63;23.6335
1.9965;25.37;23.3735
1.9965;23.8;21.8035
1.9965;22.87;20.8735
1.9965;22.47;20.4735
1.9965;22.55;20.5535
1.9965;23.35;21.3535
1.9965;25.2;23.2035
1.9965;27.88;25.8835
1.9965;26.9;24.9035
1.9965;24.79;22.7935
2.592;22.33;19.738
2.592;21.38;18.788
2.592;20.19;17.598
2.592;19.7;17.108
2.592;19.75;17.158
2.592;19.31;16.718
2.592;19.88;17.288
2.592;19.83;17.238
2.592;20.19;17.598
2.592;22.56;19.968
2.592;24.79;22.198
2.592;25.32;22.728
2.592;26.02;23.428
2.592;25.63;23.038
2.592;25.37;22.778
2.592;23.8;21.208
2.592;22.87;20.278
2.592;22.47;19.878
2.592;22.55;19.958
2.592;23.35;20.758
2.592;25.2;22.608
2.592;27.88;25.288
2.592;26.9;24.308
2.592;24.79;22.198
3.2955;22.33;19.0345
3.2955;21.38;18.0845
3.2955;20.19;16.8945
3.2955;19.7;16.4045
3.2955;19.75;16.4545
3.2955;19.31;16.0145
3.2955;19.88;16.5845
3.2955;19.83;16.5345
3.2955;20.19;16.8945
3.2955;22.56;19.2645
3.2955;24.79;21.4945
3.2955;25.32;22.0245
3.2955;26.02;22.7245
3.2955;25.63;22.3345
3.2955;25.37;22.0745
3.2955;23.8;20.5045
3.2955;22.87;19.5745
3.2955;22.47;19.1745
3.2955;22.55;19.2545
3.2955;23.35;20.0545
3.2955;25.2;21.9045
3.2955;27.88;24.5845
3.2955;26.9;23.6045
3.2955;24.79;21.4945
4.116;22.33;18.214
4.116;21.38;17.264
4.116;20.19;16.074
4.116;19.7;15.584
4.116;19.75;15.634
4.116;19.31;15.194
4.116;19.88;15.764
4.116;19.83;15.714
4.116;20.19;16.074
4.116;22.56;18.444
4.116;24.79;20.674
4.116;25.32;21.204
4.116;26.02;21.904
4.116;25.63;21.514
4.116;25.37;21.254
4.116;23.8;19.684
4.116;22.87;18.754
4.116;22.47;18.354
4.116;22.55;18.434
4.116;23.35;19.234
4.116;25.2;21.084
4.116;27.88;23.764
4.116;26.9;22.784
4.116;24.79;20.674
5.0625;22.33;17.2675
5.0625;21.38;16.3175
5.0625;20.19;15.1275
5.0625;19.7;14.6375
5.0625;19.75;14.6875
5.0625;19.31;14.2475
5.0625;19.88;14.8175
5.0625;19.83;14.7675
5.0625;20.19;15.1275
5.0625;22.56;17.4975
5.0625;24.79;19.7275
5.0625;25.32;20.2575
5.0625;26.02;20.9575
5.0625;25.63;20.5675
5.0625;25.37;20.3075
5.0625;23.8;18.7375
5.0625;22.87;17.8075
5.0625;22.47;17.4075
5.0625;22.55;17.4875
5.0625;23.35;18.2875
5.0625;25.2;20.1375
5.0625;27.88;22.8175
5.0625;26.9;21.8375
5.0625;24.79;19.7275
6.144;22.33;16.186
6.144;21.38;15.236
6.144;20.19;14.046
6.144;19.7;13.556
6.144;19.75;13.606
6.144;19.31;13.166
6.144;19.88;13.736
6.144;19.83;13.686
6.144;20.19;14.046
6.144;22.56;16.416
6.144;24.79;18.646
6.144;25.32;19.176
6.144;26.02;19.876
6.144;25.63;19.486
6.144;25.37;19.226
6.144;23.8;17.656
6.144;22.87;16.726
6.144;22.47;16.326
6.144;22.55;16.406
6.144;23.35;17.206
6.144;25.2;19.056
6.144;27.88;21.736
6.144;26.9;20.756
6.144;24.79;18.646
7.3695;22.33;14.9605
7.3695;21.38;14.0105
7.3695;20.19;12.8205
7.3695;19.7;12.3305
7.3695;19.75;12.3805
7.3695;19.31;11.9405
7.3695;19.88;12.5105
7.3695;19.83;12.4605
7.3695;20.19;12.8205
7.3695;22.56;15.1905
7.3695;24.79;17.4205
7.3695;25.32;17.9505
7.3695;26.02;18.6505
7.3695;25.63;18.2605
7.3695;25.37;18.0005
7.3695;23.8;16.4305
7.3695;22.87;15.5005
7.3695;22.47;15.1005
7.3695;22.55;15.1805
7.3695;23.35;15.9805
7.3695;25.2;17.8305
7.3695;27.88;20.5105
7.3695;26.9;19.5305
7.3695;24.79;17.4205
8.748;22.33;13.582
8.748;21.38;12.632
8.748;20.19;11.442
8.748;19.7;10.952
8.748;19.75;11.002
8.748;19.31;10.562
8.748;19.88;11.132
8.748;19.83;11.082
8.748;20.19;11.442
8.748;22.56;13.812
8.748;24.79;16.042
8.748;25.32;16.572
8.748;26.02;17.272
8.748;25.63;16.882
8.748;25.37;16.622
8.748;23.8;15.052
8.748;22.87;14.122
8.748;22.47;13.722
8.748;22.55;13.802
8.748;23.35;14.602
8.748;25.2;16.452
8.748;27.88;19.132
8.748;26.9;18.152
8.748;24.79;16.042
10.2885;22.33;12.0415
10.2885;21.38;11.0915
10.2885;20.19;9.9015
10.2885;19.7;9.4115
10.2885;19.75;9.4615
10.2885;19.31;9.0215
10.2885;19.88;9.5915
10.2885;19.83;9.5415
10.2885;20.19;9.9015
10.2885;22.56;12.2715
10.2885;24.79;14.5015
10.2885;25.32;15.0315
10.2885;26.02;15.7315
10.2885;25.63;15.3415
10.2885;25.37;15.0815
10.2885;23.8;13.5115
10.2885;22.87;12.5815
10.2885;22.47;12.1815
10.2885;22.55;12.2615
10.2885;23.35;13.0615
10.2885;25.2;14.9115
10.2885;27.88;17.5915
10.2885;26.9;16.6115
10.2885;24.79;14.5015
12;22.33;10.33
12;21.38;9.38
12;20.19;8.19
12;19.7;7.7
12;19.75;7.75
12;19.31;7.31
12;19.88;7.88
12;19.83;7.83
12;20.19;8.19
12;22.56;10.56
12;24.79;12.79
12;25.32;13.32
12;26.02;14.02
12;25.63;13.63
12;25.37;13.37
12;23.8;11.8
12;22.87;10.87
12;22.47;10.47
12;22.55;10.55
12;23.35;11.35
12;25.2;13.2
12;27.88;15.88
12;26.9;14.9
12;24.79;12.79
13.8915;22.33;8.4385
13.8915;21.38;7.4885
13.8915;20.19;6.2985
13.8915;19.7;5.8085
13.8915;19.75;5.8585
13.8915;19.31;5.4185
13.8915;19.88;5.9885
13.8915;19.83;5.9385
13.8915;20.19;6.2985
13.8915;22.56;8.6685
13.8915;24.79;10.8985
13.8915;25.32;11.4285
13.8915;26.02;12.1285
13.8915;25.63;11.7385
13.8915;25.37;11.4785
13.8915;23.8;9.9085
13.8915;22.87;8.9785
13.8915;22.47;8.5785
13.8915;22.55;8.6585
13.8915;23.35;9.4585
13.8915;25.2;11.3085
13.8915;27.88;13.9885
13.8915;26.9;13.0085
13.8915;24.79;10.8985
15.972;22.33;6.358
15.972;21.38;5.408
15.972;20.19;4.218
15.972;19.7;3.728
15.972;19.75;3.778
15.972;19.31;3.338
15.972;19.88;3.908
15.972;19.83;3.858
15.972;20.19;4.218
15.972;22.56;6.588
15.972;24.79;8.818
15.972;25.32;9.348
15.972;26.02;10.048
15.972;25.63;9.658
15.972;25.37;9.398
15.972;23.8;7.828
15.972;22.87;6.898
15.972;22.47;6.498
15.972;22.55;6.578
15.972;23.35;7.378
15.972;25.2;9.228
15.972;27.88;11.908
15.972;26.9;10.928
15.972;24.79;8.818
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
18.2505;22.33;4.0795
18.2505;21.38;3.1295
18.2505;20.19;1.9395
18.2505;19.7;1.4495
18.2505;19.75;1.4995
18.2505;19.31;1.0595
18.2505;19.88;1.6295
18.2505;19.83;1.5795
18.2505;20.19;1.9395
18.2505;22.56;4.3095
18.2505;24.79;6.5395
18.2505;25.32;7.0695
18.2505;26.02;7.7695
18.2505;25.63;7.3795
18.2505;25.37;7.1195
18.2505;23.8;5.5495
18.2505;22.87;4.6195
18.2505;22.47;4.2195
18.2505;22.55;4.2995
18.2505;23.35;5.0995
18.2505;25.2;6.9495
18.2505;27.88;9.6295
18.2505;26.9;8.6495
18.2505;24.79;6.5395
